序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
0	接收	22:04:56.136		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
1	接收	22:04:56.137		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
2	接收	22:04:56.148		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
3	接收	22:04:56.172		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
4	接收	22:04:56.199		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
5	接收	22:04:56.222		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
6	接收	22:04:56.248		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
7	接收	22:04:56.274		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
8	接收	22:04:56.298		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
9	接收	22:04:56.323		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
10	接收	22:04:56.347		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
11	接收	22:04:56.374		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
12	接收	22:04:56.397		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
13	接收	22:04:56.424		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
14	接收	22:04:56.448		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
15	接收	22:04:56.474		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
16	接收	22:04:56.499		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
17	接收	22:04:56.523		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
18	接收	22:04:56.548		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
19	接收	22:04:56.572		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
