序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
0	接收	21:58:56.082		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
1	接收	21:58:56.083		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
2	接收	21:58:56.084		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
3	接收	21:58:56.380		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
4	接收	21:58:56.881		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
5	接收	21:58:57.382		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
6	接收	21:58:57.882		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
7	接收	21:58:58.382		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
8	接收	21:58:58.884		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
9	接收	21:58:59.385		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
